,ABCB1,ABCC1,ABCC10,ABCC3,ABCC4,ABCC5,BCL2L1,CASP3,ERCC1,ERCC2,FASLG,GGH,GSTM3,GSTP1,MSH2,MTHFR,RALBP1,SLC19A1,SLC22A1,SOD1,TOP2A,label,cohort
TARGET-40-PANMIG-01A,6.139063808047436,7.993980768148191,8.38420923658975,7.224031365008294,8.547672886098843,8.47225088560852,8.275244496757358,9.202529631974762,8.787573151284423,7.965264527685491,6.022227336475788,9.530191548309556,8.54302102418219,11.91502846717352,8.297371085331623,7.771293575214902,8.867840066977227,7.299129907828596,6.245461803645211,12.834099746005425,10.54965491124416,1,TARGET-OS
TARGET-40-0A4I4M-01A,7.047722739662035,7.896974737374048,8.293751833905247,7.756879255488267,7.728216873906393,8.800354054215152,8.894639550077109,9.386435580541193,8.565943773814197,8.081376438120362,5.91509251567435,9.719627016401754,8.506174379338235,11.836579470925138,7.952564567954033,7.290288392688205,8.730905496330516,7.568006154436098,7.045559014780735,12.794540408754878,10.672315540434564,1,TARGET-OS
TARGET-40-0A4I8U-01A,7.432984148694863,8.63736014322407,9.25914553818489,8.824617545646564,8.545240402115498,9.673217371537325,9.10092613153499,9.777916297873988,8.87140291576215,8.864859964421022,5.998630904281637,11.412013191964212,9.337473577976098,13.129098121202928,9.279281185816416,8.68379290348166,9.225529750434866,8.697334090946946,7.288834064767224,13.092807946469614,11.28525950459952,1,TARGET-OS
TARGET-40-0A4HX8-01A,7.237502711700321,7.647817279204052,8.207102984355222,6.727810995921483,7.563935395356104,8.60081558678456,8.170573790278036,8.969272826516493,8.57667304541871,8.403302997042509,6.206845096354187,9.92360781280001,7.721772184293887,11.445146586908884,8.153740203411376,7.459459149697808,8.677081984375251,7.47471163016225,6.631795510689969,12.429464644670364,11.177325361848135,1,TARGET-OS
TARGET-40-0A4HXS-01A,6.6084384779425225,8.343310170119878,8.018344925802692,6.662287803692648,8.017991821177253,8.097515294134347,8.274183210307438,9.331835370137204,8.838060913326302,8.029723168233486,6.403462188639973,8.953013160054546,7.824605746236363,12.704968923608345,8.126758561137851,7.199510799132007,8.75832574442208,7.788522287641909,5.56993429552707,14.13175478130763,10.130238144113186,0,TARGET-OS
TARGET-40-0A4I48-01A,6.779126953468363,8.364662886608649,8.979238424269784,8.042828799628978,8.357731959655757,8.810973397391686,8.829658841291108,8.84571470684521,8.806372147092464,8.708861632714394,6.084047800545963,9.64054200935767,8.43376051481127,12.591473873250743,8.373059393997927,7.918913470218803,8.894098034916917,7.862725394627471,6.84895027081238,12.5881166035468,10.275687718624008,1,TARGET-OS
TARGET-40-PAKZZK-01A,7.778399147661092,7.681956962107567,8.055470133383698,7.475609096342378,7.28918091003974,8.414393234528545,8.238187494767388,8.3203005160303,8.352829220354128,7.868362531302866,6.217784840015638,10.419323826654187,7.749550669435039,11.864628027531095,8.349791748680511,7.370996773399925,8.485742624652739,7.369753629444064,5.504726510282348,13.317975630260388,9.7635730418225,0,TARGET-OS
TARGET-40-PAMYYJ-01A,6.617472987240037,8.262763413529965,8.753024930919029,7.301970171534728,7.514334436094862,8.448045074911056,8.350200379924674,9.271738998748877,8.594163693863072,8.372971481800596,6.159732539738189,10.691891180782962,9.063698647726463,11.416029688700888,8.826545133721003,7.728419973370555,8.779188044966768,7.309291330713547,6.946251165644783,13.185384706791258,10.891520777850609,0,TARGET-OS
TARGET-40-0A4HLD-01A,7.00046552170365,7.3966589427725085,7.368214534584591,7.863464449737328,6.807700089564909,7.607954507979757,7.620660616869001,7.471867962452485,7.943747347636753,7.330054767514813,5.694390208333877,8.988916764690433,6.756907594652829,11.600579627026963,8.284637341239845,7.151446755904815,8.38830923129751,7.215704268182444,6.054588887431952,12.2862958773802,9.466599852538618,1,TARGET-OS
GSM2331334,6.104170184730817,8.60781626788898,8.416774633471771,6.7480586703057766,7.976791852080137,8.674836604740113,8.428722522116765,9.285156488694794,9.177466710221555,8.290598076162112,4.970656660471357,10.217902712682788,8.257935729505148,12.967718676963251,8.656128140694799,7.2527219471005955,9.02779812372339,7.776334755682119,7.409720437591164,13.40776088258558,10.538440196788596,0,GSE87437
GSM2331335,7.225299182191042,7.95716204362377,8.344398426947459,7.976877418435604,7.894931143274705,8.579262481255507,8.135368044266952,8.739768661066044,8.647442974285473,7.7640042913356275,4.980054098789192,9.571600630636372,7.841671897052439,11.331506185917142,8.051331013710671,7.50812157522671,8.6025212609247,7.2629774424357,5.577325822956028,12.197254446148888,10.47398412275021,0,GSE87437
GSM2331336,7.596905950532657,7.430658511408264,8.627143409687914,6.965127265291775,7.397852116776056,8.382618507034401,8.346287964491426,8.86974805969875,8.825840040412459,8.162048211569429,6.035226686627958,10.0978814573847,8.382170995561983,10.480001783241384,8.497878171711777,7.190528891559356,8.494354870074822,7.335711881557344,7.1191078229935245,12.180196853474676,10.059650360589458,0,GSE87437
GSM2331337,8.420151688437691,7.92090971187213,8.054042042905763,7.573393845276635,7.612102592716796,8.159295620930918,8.158258939623257,9.307432284568428,8.240818912273166,7.932323585594861,7.253410438921623,8.970359129581635,8.124364589965827,12.028049218070292,8.168760219091677,7.548313594168242,8.848167145457312,7.464470416051102,7.144167725706971,13.029925887282424,9.54069831386214,0,GSE87437
GSM2331338,6.468798091247047,7.57271276890433,8.521003906544163,7.568109028803168,7.405941560440528,8.522207667850136,8.13481012678951,9.617737027617675,7.74396547089627,8.00146180956385,4.936393059482906,10.22339503750164,8.83500036627614,12.09505315041043,9.11001806547908,7.31982293001227,8.520983652524247,7.439232064402601,6.600858878784469,13.340895991737025,10.93861646849639,1,GSE87437
GSM2331339,6.756652703121484,7.80679710008364,8.13323831062835,7.762725908435346,7.761608552949257,8.509395746326007,8.123895794899616,9.62817472972118,8.707054608793262,8.181974048241015,5.643572732832778,10.52383494430509,8.412030307009504,11.74221038545944,8.64435469058845,7.352100366123239,8.53977308603576,7.480720438127274,5.6359164134530655,13.317426574657508,11.375655444097402,1,GSE87437
GSM2331340,7.731478109032732,7.956860473060396,7.749411201767545,6.971333282138925,7.685919408217107,8.660446715084273,8.366016064972412,8.910910539246032,8.826522706684731,8.012737731085785,6.373139056362251,9.40847319003468,8.626098852637673,11.747562368420756,7.836018566608876,7.553092644103238,8.63388392553629,7.268479388615187,7.594501568291685,13.002286946488764,9.52867114227878,1,GSE87437
